site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,hzdept_r.x,hzdepb_r.x,sandtotal_r.x,silttotal_r.x,claytotal_r.x,om_r.x,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r.y,hzdepb_r.y,sandtotal_r.y,silttotal_r.y,claytotal_r.y,om_r.y,geometry
PH01,Oak Hills Park,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20348,-76.72894,"Managed: mowed/tended lawns, yard, or park",1C54R_xIqY406rBX8fyvbNZ1gn51b3vNU,43,17057,7a,13,Urban and built-up,"Developed, Low Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,Us,540770,25756578,NA,NA,NA,NA,NA,NA,NA,"c(1615022.94480342, 2074088.18304844)"
PH02,Water Treatment Plant,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.19287,-76.72865,"Unmanaged: wild plants/weeds, forest, or grassland",1kc2IYHZvFNXXdGwH02TkYzCpq9rO7d7Y,29,17057,7a,50,Urban and built-up,"Developed, Low Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,Ua,540768,25756573,NA,NA,NA,NA,NA,NA,NA,"c(1615286.3153281, 2072928.77554335)"
PH03,PSH Heating Plant,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20507,-76.74527,"Managed: mowed/tended lawns, yard, or park",1kILa2KYeeYVWkKifm_MFaCOm8leO46Kx,19,17057,7a,0,Urban and built-up,"Developed, Open Space",NA,NA,NA,NA,NA,NA,TRUE,PA043,Ua,540768,25756573,NA,NA,NA,NA,NA,NA,NA,"c(1613637.3398331, 2073985.2735191)"
PH04,Engineering Lab,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.19899,-76.74357,"Managed: mowed/tended lawns, yard, or park",1VNFFTv4bRc3fXNZtPuJp2cdaYmqdtQ64,31,17057,7a,22,Urban and built-up,"Developed, Low Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,CnC2,540722,25756461,H1,0,23,70.9000015258789,16.600000381469727,12.5,2.25,"c(1613914.93506961, 2073346.90414028)"
PH04,Engineering Lab,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.19899,-76.74357,"Managed: mowed/tended lawns, yard, or park",1VNFFTv4bRc3fXNZtPuJp2cdaYmqdtQ64,31,17057,7a,22,Urban and built-up,"Developed, Low Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,CnC2,540722,25756461,H2,23,76,70.9000015258789,16.600000381469727,12.5,0.25,"c(1613914.93506961, 2073346.90414028)"
PH04,Engineering Lab,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.19899,-76.74357,"Managed: mowed/tended lawns, yard, or park",1VNFFTv4bRc3fXNZtPuJp2cdaYmqdtQ64,31,17057,7a,22,Urban and built-up,"Developed, Low Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,CnC2,540722,25756461,H3,76,168,70.9000015258789,16.600000381469727,12.5,0.25,"c(1613914.93506961, 2073346.90414028)"
PH05,Juniata Hall,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20651,-76.7385,"Managed: mowed/tended lawns, yard, or park",1dC7S1BY-MqoDKy3Ky5twm_-yCvyZ_Vdb,54,17057,7a,28,Urban and built-up,"Developed, Medium Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,LrB2,540747,25756519,H4,157,183,NA,NA,NA,0.25,"c(1614164.43362089, 2074258.27372901)"
PH05,Juniata Hall,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20651,-76.7385,"Managed: mowed/tended lawns, yard, or park",1dC7S1BY-MqoDKy3Ky5twm_-yCvyZ_Vdb,54,17057,7a,28,Urban and built-up,"Developed, Medium Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,LrB2,540747,25756519,H1,0,30,65.69999694824219,22.799999237060547,11.5,2,"c(1614164.43362089, 2074258.27372901)"
PH05,Juniata Hall,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20651,-76.7385,"Managed: mowed/tended lawns, yard, or park",1dC7S1BY-MqoDKy3Ky5twm_-yCvyZ_Vdb,54,17057,7a,28,Urban and built-up,"Developed, Medium Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,LrB2,540747,25756519,H3,117,157,66.80000305175781,19.200000762939453,14,0.25,"c(1614164.43362089, 2074258.27372901)"
PH05,Juniata Hall,"Harrisburg, PA",Harrisburg,PA,Nik Tsotakos,40.20651,-76.7385,"Managed: mowed/tended lawns, yard, or park",1dC7S1BY-MqoDKy3Ky5twm_-yCvyZ_Vdb,54,17057,7a,28,Urban and built-up,"Developed, Medium Intensity",NA,NA,NA,NA,NA,NA,TRUE,PA043,LrB2,540747,25756519,H2,30,117,66.80000305175781,19.200000762939453,14,0.25,"c(1614164.43362089, 2074258.27372901)"
